areas_of_interest,consultations,detailOfTypeDoc,experience,image_url,name,profile_url,qualifications,reviews,satisfaction,specialization,totalNumOfDocs,typeOfDoc
,"[{""type"": ""Fauji Foundation Hospital, Islamabad, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Fauji Foundation Hospital, Islamabad, Rawalpindi""}, {""type"": ""Basharat Hospital, Cantt, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Basharat Hospital, Cantt, Rawalpindi""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",5,https://static.marham.pk/assets/images/doctor-photo-female-170170.webp,Dr. Humera Latif,https://www.marham.pk/doctors/rawalpindi/breast-surgeon/dr-humera-latif,"MBBS, FCPS (Breast Surgery), FCPS (Surgery)",0,93,Breast Surgeon,33,Breast Surgeon
,"[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Islamabad Diagnostic Centre, G-8, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Islamabad Diagnostic Centre, G-8, Islamabad""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",23,https://staticconnect.marham.pk/assets/doctors/64996/dr-asma-asrar-general-surgeon-islamabad-24_170X170.webp,Dr. Asma Asrar,https://www.marham.pk/doctors/islamabad/general-surgeon/dr-asma-asrar,"MBBS, FCPS General Surgery",0,100,"General Surgeon, Laparoscopic Surgeon, Breast Surgeon",33,Breast Surgeon
"Breast Surgery, Anal And Perianal Conditions, Lumps And Bumps, Pilonidal Sinus","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Fazil Memorial Hospital, Civil Lines, Gujranwala"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""1500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Fazil Memorial Hospital, Civil Lines, Gujranwala""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",12,https://staticconnect.marham.pk/assets/doctors/62021/dr-musharrafa-iqbal-janjua-general-surgeon-gujranwala-25_170X170.webp,Dr. Musharrafa Iqbal Janjua,https://www.marham.pk/doctors/gujranwala/general-surgeon/dr-musharrafa-iqbal-janjua,"MBBS, FCPS (Surgery)",0,83,"General Surgeon, Breast Surgeon",33,Breast Surgeon
"Breast Surgery, General Surgery","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Quaid-E-Azam International Hospital, Main Peshawar Road, Islamabad"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Quaid-E-Azam International Hospital, Main Peshawar Road, Islamabad""}, {""type"": ""Azmat Rashid Hospital, Westridge, Rawalpindi"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Azmat Rashid Hospital, Westridge, Rawalpindi""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",15,https://staticconnect.marham.pk/assets/doctors/66511/dr-yawar-batool-breast-surgeon-islamabad-75_170X170.webp,Dr. Yawar Batool,https://www.marham.pk/doctors/islamabad/breast-surgeon/dr-yawar-batool,"MBBS, FCPS Surgery, MCPS Surgery, Fellowship in Breast Surgery",0,100,Breast Surgeon,33,Breast Surgeon
"Perianal Surgery, Perianal Surgery For Female, Breast Surgeon","[{""type"": ""Gujranwala Medical Complex, Grand Trunk Rd, Gujranwala"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Gujranwala Medical Complex, Grand Trunk Rd, Gujranwala""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",20,https://staticconnect.marham.pk/assets/doctors/63496/asst-prof-dr-yasmeen-usman-breast-surgeon-gujranwala-35_170X170.webp,Asst. Prof. Dr. Yasmeen Usman,https://www.marham.pk/doctors/gujranwala/breast-surgeon/asst-prof-dr-yasmeen-usman,"MBBS, FCPS",0,88,Breast Surgeon,33,Breast Surgeon
"Chest Surgeon, Endocrine Thyroid Surgery, Pancreatic Cancer, Colorectal Cancer","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Shalamar Hospital, MughalPura, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Shalamar Hospital, MughalPura, Lahore""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",25,https://staticconnect.marham.pk/assets/doctors/42283/prof-dr-talat-waseem-cancer-surgeon-lahore-1_170X170.webp,Prof. Dr. Talat Waseem,https://www.marham.pk/online-consultation/general-surgeon/lahore/prof-dr-talat-waseem-42283,"MBBS, FRCS England, FRCS (GenSurg), FACS, MME Postdoctoral Fellowship Surgical Research (Harvard)",42283,100,"General Surgeon, Cancer Surgeon, Breast Surgeon",33,Breast Surgeon
"Laparoscopic Surgery, Colorectal Surgery, Hammeroid, Fissure Fistula","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Iqra Medical Complex (Ext)(old  building), Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Iqra Medical Complex (Ext)(old  building), Johar Town, Lahore""}, {""type"": ""Farooq Hospital (Westwood Branch), Thokar Niaz Baig, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Farooq Hospital (Westwood Branch), Thokar Niaz Baig, Lahore""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",9,https://staticconnect.marham.pk/assets/doctors/60732/dr-afzaal-aftab-khan-general-surgeon-lahore-26_170X170.webp,Asst. Prof. Dr. Afzaal Aftab Khan,https://www.marham.pk/doctors/lahore/general-surgeon/asst-prof-dr-afzaal-aftab-khan,"MBBS, FCPS (General Surgery), ATLS",0,100,"General Surgeon, Laparoscopic Surgeon, Breast Surgeon",33,Breast Surgeon
"Laparoscopic Surgery, Fissure Fistula, Breast Surgery","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Niazi Hospital, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Niazi Hospital, Johar Town, Lahore""}, {""type"": ""Latif Hospital, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Latif Hospital, Johar Town, Lahore""}, {""type"": ""Khursheed Rasheed Hospital, Lahore, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2500"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Khursheed Rasheed Hospital, Lahore, Lahore""}]","A Breast Surgeon provides diagnosis, surgical procedure and care of breast diseases. They perform procedures to maintain health and prevent breast-related problems.",10,https://staticconnect.marham.pk/assets/doctors/28691/dr-farwa-zohaib-general-surgeon-lahore-72_170X170.webp,Dr. Farwa Zohaib,https://www.marham.pk/online-consultation/general-surgeon/lahore/dr-farwa-zohaib-28691,"MBBS , FCPS ( General Surgery)",28691,92,"General Surgeon, Breast Surgeon",33,Breast Surgeon
"Infertility, Male Sexual Health, Stones Of Urinary Tract, Male Infertility Treatment, Pcnl, Infertility, Microsurgery, Penile Implants, Pcnl, Infertility, Microsurgery, Penile Implants, Implant Dentistry","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""5,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Chughtai Medical Center Jail Road, Gulberg 5, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Center Jail Road, Gulberg 5, Lahore""}, {""type"": ""Chughtai Medical Center Johar Town, Johar Town, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""4000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Chughtai Medical Center Johar Town, Johar Town, Lahore""}]","Endourologists are specialists who are expert in the treatment of urinary stones, bladder health, and male reproductive health.",28,https://staticconnect.marham.pk/assets/doctors/2881/dr-fawad-nasrullah-urologist-lahore_170X170.webp,Prof. Dr. Fawad Nasrullah,https://www.marham.pk/doctors/lahore/urologist/prof-dr-fawad-nasrullah,"MBBS, FCPS (Urology), FACS (USA)",0,92,"Urologist, Sexologist, Urologist, Endourologist, Andrologist",13,Endourologist
"Prostate Diseases, Infertility, Kidney Stones, Male Sexual Health","[{""type"": ""Video Consultation"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2,000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Video Consultation""}, {""type"": ""Health Bridge Hospital, Cantt, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Health Bridge Hospital, Cantt, Lahore""}, {""type"": ""Farooq Hospital (DHA), DHA, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""3000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""Farooq Hospital (DHA), DHA, Lahore""}, {""type"": ""The University of Lahore Teaching Hospital, Bhubtian Chowk Raiwind Road, Lahore"", ""hospital"": null, ""city"": null, ""address"": null, ""fee"": ""2000"", ""discounted_fee"": null, ""link"": null, ""hospital_type"": null, ""available_today"": ""The University of Lahore Teaching Hospital, Bhubtian Chowk Raiwind Road, Lahore""}]","Endourologists are specialists who are expert in the treatment of urinary stones, bladder health, and male reproductive health.",12,https://staticconnect.marham.pk/assets/doctors/14523/dr-muhammad-sohail-urologist-lahore-78_170X170.webp,Dr. Muhammad Sohail,https://www.marham.pk/doctors/lahore/urologist/dr-muhammad-sohail,"MBBS, MS (Urology)",0,97,"Urologist, Sexologist, Endourologist, Andrologist",13,Endourologist
